customer_id,full_name,dob,marital_status,num_children,region
1,Alex Morgan,04/02/1960,Single,0,Auckland
2,Nicholas Rickard,27/10/1950,Married,2,Waikato
3,Amber Scott,26/09/1960,Single,0,Wellington
4,Amanda Ward-Satherley,27/12/1981,Single,0,Taranaki
5,John Murphy,23/01/2004,Married,0,Manawatu-Whanganui
6,Oliver Harrison,27/06/1955,Married,0,Wellington
7,Ava Fisher,02/05/1969,Married,0,Taranaki
8,Emily Jones-Lloyd,26/05/1953,Married,1,Taranaki
9,Liam Long,30/12/1986,Married,0,Southland
10,Courtney Brown-Morton,06/07/1997,Married,2,Manawatu-Whanganui
11,Shane Law,10/10/1970,Married,0,Hawke's Bay
12,Megan O'Sullivan,04/02/1970,Married,0,Auckland
13,Nathan Kenny,03/06/1991,Married,2,Canterbury
14,Matthew Hansen,10/07/1994,Single,0,Otago
15,John Knight,17/11/2007,Married,0,Waikato
16,Destiny Webb,10/03/1997,Single,1,Otago
17,David Anderson,16/05/1966,Single,0,Manawatu-Whanganui
18,Anthony Landon-Lane-Sutton,04/10/1993,Married,0,Otago
19,Michael Black,21/02/2007,Married,1,Auckland
20,Casey Martin,08/08/1995,Single,0,Taranaki
21,Emily Greig,01/01/2006,Single,0,Manawatu-Whanganui
22,Isla Jacques,27/04/1954,Single,0,Bay of Plenty
23,Aria Jones,14/05/1952,Single,0,Hawke's Bay
24,Robert Grant,24/03/1949,Married,2,Otago
25,Lynne Weston,05/01/1962,Married,1,Wellington
26,Nicholas Thomas,11/02/2005,Single,0,Waikato
27,Richard Harrison-Morrison,02/09/1955,Single,0,Wellington
28,Wayne Willis,30/10/1962,Single,1,Wellington
29,Justin Mitchell,16/06/1987,Single,0,Northland
30,Maree Simpson,17/10/1996,Married,1,Otago
31,Vanessa Boon,30/05/2007,Married,0,Otago
32,Hannah Smith-McFarlane,13/09/2004,Married,0,Bay of Plenty
33,Angus Aitken,07/04/1950,Married,2,Southland
34,Sandra Meads,26/02/1981,Married,1,Hawke's Bay
35,Bruce Shaw,27/04/1982,Single,0,Taranaki
36,Kevin Stratford-Burnett,09/08/1981,Married,2,Canterbury
37,Paul Kennedy,12/08/1990,Single,0,Bay of Plenty
38,Jocelyn Pope,20/02/1953,Single,2,Southland
39,Anthony Smith,07/08/1982,Married,2,Waikato
40,Diana Brown-Peters,26/06/1960,Married,2,Auckland
41,Shane Brown,06/02/1961,Married,0,Auckland
42,Debra Stewart,13/12/2004,Married,2,Manawatu-Whanganui
43,Karen Reardon-Bull,11/11/1957,Single,0,Waikato
44,Mitchell Gibson,18/11/1972,Married,3,Hawke's Bay
45,Neil Rossiter,09/08/1951,Single,1,Otago
46,Pamela Reeves,04/05/1952,Married,0,Northland
47,Craig Ferguson,12/08/1973,Married,1,Southland
48,John Spelman-Williams,22/11/1999,Married,1,Bay of Plenty
49,Andrew Love,18/10/2001,Single,0,Taranaki
50,Timothy Johnstone,22/03/1956,Married,1,Hawke's Bay
51,Kate Jeffries,26/04/2006,Married,1,Hawke's Bay
52,Jackson Skinner,14/12/1962,Married,1,Waikato
53,Jason Toms-Guard,22/09/1982,Single,2,Canterbury
54,Charlotte Wallace,19/11/1948,Single,0,Wellington
55,Angela Davies,26/04/1948,Single,0,Wellington
56,Kay Rees,15/08/1955,Single,0,Canterbury
57,Anna Edwards,25/05/1985,Married,2,Manawatu-Whanganui
58,James Claridge,03/09/1983,Married,1,Manawatu-Whanganui
59,Lynette Gore-Currie,16/08/1984,Married,1,Northland
60,Grace Carter,25/06/1990,Single,0,Taranaki
61,Elizabeth Black,12/08/1990,Single,1,Auckland
62,John McFarlane-Waller,16/07/1945,Single,0,Wellington
63,Tui Hume-Williams,30/05/1959,Single,0,Taranaki
64,Caleb Phillips-Brown,12/07/1961,Single,0,Southland
65,Christopher Muir-Low,13/07/1986,Married,1,Bay of Plenty
66,Alana Rasmussen,12/04/1965,Single,0,Northland
67,Trevor Stewart,04/10/1952,Single,0,Bay of Plenty
68,Charlotte Miller,29/03/1959,Married,3,Canterbury
69,Deborah Bright,14/11/1962,Single,0,Wellington
70,Ella Gillies,12/05/1948,Single,1,Bay of Plenty
71,Sarah Jones,09/08/1967,Married,2,Taranaki
72,Michael Allen,07/05/1995,Single,0,Canterbury
73,Nicole Hope,08/07/1952,Single,0,Canterbury
74,Levi O'Keefe,18/07/1984,Married,1,Taranaki
75,Jason Jones,20/09/1969,Single,1,Hawke's Bay
76,Deborah Parker,25/11/1951,Married,1,Auckland
77,Stacey O'Connor,21/02/1987,Married,0,Otago
78,Timothy Baker,19/12/1955,Single,1,Bay of Plenty
79,Amanda Bush,06/07/1967,Married,0,Waikato
80,Douglas Butcher,05/04/1952,Married,2,Wellington
81,Shane Bailey,22/06/2000,Married,0,Northland
82,Georgia Leslie,23/05/1960,Single,0,Taranaki
83,Mitchell Kennedy,12/11/1963,Married,2,Canterbury
84,Hayden Buchanan-Payne,26/04/2002,Married,2,Taranaki
