customer_id,region_id,full_name,date_of_birth,marital_status
1,11,Alex Morgan,1960-02-13,Single
2,2,Nicholas Rickard,1950-11-05,Married
3,1,Amber Scott,1960-10-05,Single
4,5,Amanda Ward-Satherley,1982-01-05,Single
5,4,John Murphy,2004-02-01,Married
6,4,Oliver Harrison,1955-07-06,Married
7,3,Ava Fisher,1969-05-11,Married
8,2,Emily Jones-Lloyd,1953-06-04,Married
9,11,Liam Long,1987-01-08,Married
10,9,Courtney Brown-Morton,1997-07-15,Married
11,2,Shane Law,1970-10-19,Married
12,10,Megan O'Sullivan,1970-02-13,Married
13,7,Nathan Kenny,1991-06-12,Married
14,1,Matthew Hansen,1994-07-19,Single
15,1,John Knight,1988-06-25,Married
16,2,Destiny Webb,1997-03-19,Single
17,4,David Anderson,1966-05-25,Single
18,4,Anthony Landon-Lane-Sutton,1993-10-13,Married
19,9,Michael Black,1988-09-04,Married
20,10,Donald Parker,1983-02-17,Single
21,1,Peter Wilton-Greig,1969-07-25,Single
22,9,Justin Scott,1948-02-20,Married
23,4,Michael Gifford,1973-08-28,Married
24,11,Jacob Nelson,1976-10-12,Single
25,9,William Gullery-Smith,1993-12-22,Single
26,7,Rachael Griffin,1968-01-30,Married
27,4,Jayden Fowler-Nicholas,2004-07-13,Married
28,8,William Nolan-Allan,1952-03-03,Single
29,10,Scott Allan-Ward,1970-05-17,Single
30,5,Lance Craig,1981-01-08,Single
31,1,Hannah Smith-McFarlane,2004-09-22,Married
32,3,Angus Aitken,1950-04-16,Married
33,7,Sandra Meads,1981-03-07,Married
34,6,Bruce Shaw,1982-05-06,Single
35,5,Kevin Stratford-Burnett,1981-08-18,Married
36,3,Paul Kennedy,1990-08-21,Single
37,4,Jocelyn Pope,1953-03-01,Single
38,6,Anthony Smith,1982-08-16,Married
39,2,Diana Brown-Peters,1960-07-05,Married
40,2,Shane Brown,1961-02-15,Married
41,7,Debra Stewart,1983-10-16,Married
42,2,Elizabeth Crawford,1972-08-18,Single
43,6,Blair Kelly,1973-10-03,Married
44,6,Shirley Taylor,1989-05-25,Married
45,10,Anthony Ireland,1999-05-30,Single
46,5,Craig Wilkinson,1954-06-21,Married
47,1,Elijah Parker,1950-01-22,Married
48,8,Ashleigh Waugh,1981-09-19,Single
49,9,Timothy Johnstone,1956-03-31,Married
50,2,Kate Jeffries,1948-12-02,Married
51,7,Abigail Olsen,1998-04-15,Married
52,2,Jason Toms-Guard,1982-10-01,Single
53,9,Charlotte Wallace,1948-11-28,Single
54,5,Angela Davies,1948-05-05,Single
55,11,Kay Rees,1955-08-24,Single
56,10,Anna Edwards,1985-06-03,Married
57,6,James Claridge,1983-09-12,Married
58,10,Lynette Gore-Currie,1984-08-25,Married
59,4,Grace Carter,1990-07-04,Single
60,2,Elizabeth Black,1990-08-21,Single
61,1,John McFarlane-Waller,1945-07-25,Single
62,11,Tui Hume-Williams,1959-06-08,Single
63,4,Caleb Phillips-Brown,1961-07-21,Single
64,5,Christopher Muir-Low,1986-07-22,Married
65,2,Alana Rasmussen,1965-04-21,Single
66,4,Trevor Stewart,1952-10-13,Single
67,2,Charlotte Miller,1959-04-07,Married
68,7,Deborah Bright,1962-11-23,Single
69,5,Ella Gillies,1948-05-21,Single
70,8,Sarah Jones,1967-08-18,Married
71,11,Michael Allen,1995-05-16,Single
72,6,Nicole Hope,1952-07-17,Single
73,3,Levi O'Keefe,1984-07-27,Married
74,6,Jason Jones,1969-09-29,Single
75,6,Deborah Parker,1951-12-04,Married
76,4,Stacey O'Connor,1987-03-02,Married
77,11,Timothy Baker,1955-12-28,Single
78,5,Amanda Bush,1967-07-15,Married
79,11,Douglas Butcher,1952-04-14,Married
80,11,Shane Bailey,2000-07-01,Married
81,2,Georgia Leslie,1960-06-01,Single
82,10,Mitchell Kennedy,1963-11-21,Married
83,11,Hayden Buchanan-Payne,2002-05-05,Married
84,3,Tracey Thomas,1962-09-15,Single
85,9,Victoria Roberts-Mitchell,1974-07-03,Married
86,4,Joanne Rossiter,1952-10-19,Married
87,3,Claudia Jones-Coleman,1980-04-23,Married
88,8,Ian Brown,1990-02-17,Single
89,7,Grace Jefferies-Parkes,1965-05-14,Married
90,5,Nathan Webb-Hickey,1982-08-28,Single
91,11,Jason Buckley,1991-01-08,Married
92,9,Matthew Stevens,1982-03-21,Single
93,4,Felix Wilton-Field,1989-06-25,Married
94,11,Joy Lawson,1979-09-19,Married
95,6,Mitchell Morris,1990-02-08,Single
96,1,Heather Shailer-Wheeler,1990-09-18,Single
97,4,Roger Moore,1948-01-28,Married
98,1,Margaret Griffin,1975-12-03,Married
99,6,Courtney Drummond-Cresswell,1961-07-14,Married
100,7,Steven Gullery,1952-03-08,Married
101,5,Denise Watkins,1992-04-14,Single
102,2,Andrea Parker,2002-08-29,Single
103,4,Carol Francis,1981-01-27,Married
104,10,Hannah Barker-Saunders,2000-05-23,Single
105,6,Joanna Fairhall,1975-04-11,Single
106,4,Julie Wheeler,2002-01-30,Married
107,11,Reuben Woolley-Poole,1963-08-14,Single
108,8,Paul Baker,1967-10-14,Single
109,7,Anna Simpson,1970-12-30,Married
110,11,Patrick Brown,1972-08-31,Single
111,8,Karen Brown,2001-08-10,Married
112,3,Susan Greig,1992-04-05,Married
113,5,Jane Smith-Clarke,1996-03-15,Married
114,3,Laura Whyte,1999-05-12,Married
115,4,Joseph Morgan,1977-12-23,Single
116,9,Heather Patterson,1972-06-11,Married
117,9,Scott Allerby,1987-04-11,Single
118,5,Terry Gibbons,1990-01-17,Single
119,10,Michael Martin,1976-05-07,Married
120,7,Dennis Patchett,1975-11-15,Married
121,10,Rachel Fisher,1996-02-08,Married
122,7,Samuel Chapman-Simonsen,1948-06-22,Married
123,6,Michael Findlay,1989-04-13,Married
124,4,Warwick Ward,1946-04-26,Married
125,3,David Crawford,1952-09-18,Single
126,9,John Russell,1970-01-12,Single
127,8,Maree Schwass-Thomas,2000-09-06,Married
128,2,Brendon Smith-Davies,1991-01-09,Married
129,1,Tracey Ward,1985-03-22,Married
130,2,Bradley Mercer,2002-10-17,Single
131,3,Sally McMahon-Rose,1947-09-22,Single
132,11,Joanne Gardiner,1979-05-12,Married
133,3,Alexis Currie,1978-04-16,Single
134,11,Victoria Bright,2001-04-28,Married
135,7,Jayden Sowman,1989-03-12,Single
136,10,Samantha Atkinson-Burton,1974-07-28,Married
137,2,Emma Norton-Lowe,1950-10-30,Single
138,7,Elizabeth Francis,1986-06-18,Married
139,7,Heather Cresswell,1967-01-18,Single
140,10,Deborah McNabb,1968-02-03,Married
141,8,Nicola Murphy-Smith,1957-12-06,Married
142,9,Paul West,1996-07-10,Married
143,5,Melissa Burns,1998-11-21,Married
144,9,Garry Jamieson,1961-06-27,Married
145,1,Jacqueline Barrett-Larsen,1995-09-10,Married
146,11,Holly Fowler,1965-10-18,Single
147,2,Brian Davis,1953-01-24,Married
148,11,Vanessa Paton,1957-12-18,Single
149,9,Emma Bradley,1996-08-30,Married
150,5,Eva Harris-Davis,1960-05-30,Single
151,11,Geoffrey Tucker,1953-07-18,Married
152,6,Zachary Simmons,1992-05-22,Married
153,2,Ava Smith,1964-04-12,Married
154,5,Jorja Edwards,1948-06-04,Single
155,7,Brenda Brown,1978-05-24,Married
156,3,Mary Taylor-Moore,1983-03-26,Married
157,8,Tamati Campbell,1996-12-13,Married
158,1,MacKenzie Gore-Stone,1970-10-25,Married
159,5,Gemma Forrest,1974-02-10,Single
160,9,Maria Small-Hoare,1996-10-31,Married
161,3,Donald Williams,1961-04-02,Married
162,9,Anna Smith,1975-08-03,Married
163,2,Karen Anderson-McKay,1964-03-03,Single
164,11,Ann Mason,1962-12-07,Single
165,5,Michelle Southee-Rush,1981-12-27,Single
166,11,Thomas Humphrey,1949-10-15,Married
167,9,Robert MacKenzie,2001-01-07,Married
168,10,Jeffrey Weston-Johnston,1972-04-27,Single
169,4,Lauren Davidson,1985-08-17,Married
170,3,Patricia Holmes,1946-09-09,Married
171,6,William Potter,1984-01-27,Married
172,3,Wiremu Joe,1963-04-09,Single
173,9,Raymond Gray,1980-03-30,Single
174,9,Tania Henderson,1984-10-05,Single
175,1,Wendy Chapman,1972-09-19,Single
176,10,Michelle Davison,1967-05-17,Married
177,6,Fiona Faulkner,2000-04-17,Married
178,8,Amelia Thompson,1962-02-08,Single
179,1,William Jamieson,1979-12-13,Married
180,2,Karen Taylor,1980-03-17,Married
181,6,Rachel Parsons-Manning,1958-10-13,Married
182,5,Caitlyn McKay,2004-11-14,Married
183,4,Bronwyn Henry,1986-05-13,Single
184,1,George Smith,1972-09-10,Married
185,4,Tama Landon-Lane,1976-05-01,Married
186,10,Joshua McIntyre,1979-07-24,Married
187,2,Jamie Burton-Crawford,1976-01-06,Single
188,2,Jacob Blick,1979-07-08,Single
189,8,Shaun Murphy,1998-09-09,Single
190,2,Tina Allan,2000-10-07,Married
191,9,Paul Stubbs-Field,1989-11-02,Married
192,3,Joel Fuller,1967-07-21,Single
193,3,Jane Shannon,2004-02-09,Single
194,11,Malcolm Mason,1997-09-15,Married
195,8,Glenn Crawford,2000-02-23,Married
196,9,Kora Gifford,1989-04-20,Married
197,3,Vivienne Jackson,1985-02-03,Married
198,5,Simon Gardner,1980-09-20,Married
199,9,Paul Perry,1989-06-27,Single
200,10,John Foot,1967-12-20,Married
201,7,Melissa Norton,2002-12-07,Single
202,4,Jane Oliver,1993-11-02,Single
203,9,Sophia Anderson,1949-08-02,Single
204,4,Te Ariki Prentice-Nicholson,1951-08-18,Married
205,5,Jesse Pike,1946-11-25,Single
206,7,Rosemary Morrison,1970-06-09,Married
207,11,David Williamson,1991-04-30,Single
208,11,Cody Small,1970-12-18,Married
209,6,Joshua Greig,1960-09-24,Single
210,8,John Donaldson-Beard,1976-08-03,Single
211,9,Charlotte Gardner,1968-06-12,Married
212,8,Michael Rush-Neal,2002-06-15,Single
213,2,Wiremu Rowlands,1952-03-09,Married
214,4,Lisa Stevenson,1992-07-07,Married
215,4,Ari Fleming,1963-08-11,Married
216,2,Shirley Craig-Hoskins,1986-03-13,Married
217,6,Sarah Cooke,1997-09-20,Single
218,1,Ruby Cook-McDonald,1961-12-26,Married
219,10,Michael Cooke,1988-11-29,Single
220,9,Robert Anderson-O'Sullivan,1953-11-15,Married
